date,action,spread,z_score,cost,trade_pnl,total_pnl
2023-02-01,LONG_ENTRY,-103.90263366699219,-1.8841652135583156,50.0,,
2023-02-02,STOP_LOSS_EXIT,-110.1824951171875,-2.800320270632761,50.0,-313993.0725097656,-314093.0725097656
2023-02-07,LONG_ENTRY,-109.30207824707031,-2.197721588721674,50.0,,
2023-02-16,MEAN_REVERSION_EXIT,-105.34649658203125,-0.1823982010521958,50.0,197779.08325195312,-116413.9892578125
2023-03-15,LONG_ENTRY,-109.28480529785156,-2.139835940139454,50.0,,
2023-03-16,STOP_LOSS_EXIT,-117.01512145996094,-3.2951256743509316,50.0,-386515.80810546875,-503029.79736328125
2023-03-17,LONG_ENTRY,-121.02290344238281,-2.935313959115428,50.0,,
2023-04-14,MEAN_REVERSION_EXIT,-117.5216064453125,-0.029377074469124718,50.0,175064.84985351562,-328064.9475097656
2023-04-24,SHORT_ENTRY,-113.11643981933594,1.8617188573802745,50.0,,
2023-04-25,STOP_LOSS_EXIT,-108.42820739746094,2.760588783076607,50.0,-234411.62109375,-562576.5686035156
2023-04-26,LONG_ENTRY,-128.00759887695312,-2.3745307737534405,50.0,,
2023-04-27,STOP_LOSS_EXIT,-132.69480895996094,-2.641370928753489,50.0,-234360.50415039062,-797037.0727539062
2023-04-28,LONG_ENTRY,-133.82421875,-2.287452019261688,50.0,,
2023-05-25,STOP_LOSS_EXIT,-149.3219451904297,-2.848679360297413,50.0,-774886.3220214844,-1572023.3947753906
2023-05-26,LONG_ENTRY,-153.76089477539062,-2.754314958656206,50.0,,
2023-06-07,MEAN_REVERSION_EXIT,-142.04827880859375,0.09703636688900294,50.0,585630.7983398438,-986492.5964355469
2023-06-15,LONG_ENTRY,-158.2501983642578,-2.126586010992685,50.0,,
2023-06-22,MEAN_REVERSION_EXIT,-149.0231475830078,-0.15183294613466963,50.0,461352.5390625,-525240.0573730469
2023-06-26,SHORT_ENTRY,-139.81210327148438,1.7509860251754337,50.0,,
2023-07-06,MEAN_REVERSION_EXIT,-145.7998046875,-0.0699672718298919,50.0,299385.07080078125,-225954.98657226562
2023-07-18,LONG_ENTRY,-161.8126220703125,-3.259614011511592,50.0,,
